"Step","GPR - train_loss/total_loss","GPR - train_loss/total_loss__MIN","GPR - train_loss/total_loss__MAX","APPNP - train_loss/total_loss","APPNP - train_loss/total_loss__MIN","APPNP - train_loss/total_loss__MAX","2HopConv - train_loss/total_loss","2HopConv - train_loss/total_loss__MIN","2HopConv - train_loss/total_loss__MAX","NewConvForm - train_loss/total_loss","NewConvForm - train_loss/total_loss__MIN","NewConvForm - train_loss/total_loss__MAX","Base-SwinT - train_loss/total_loss","Base-SwinT - train_loss/total_loss__MIN","Base-SwinT - train_loss/total_loss__MAX"
"10","46.06862511392683","46.06862511392683","46.06862511392683","47.47727504884824","47.47727504884824","47.47727504884824","48.026968002785","48.026968002785","48.026968002785","47.81584938429296","47.81584938429296","47.81584938429296","48.00306653091684","48.00306653091684","48.00306653091684"
"11","49.34841469023377","49.34841469023377","49.34841469023377","47.81401322269812","47.81401322269812","47.81401322269812","47.73311529075727","47.73311529075727","47.73311529075727","50.53898859163746","50.53898859163746","50.53898859163746","47.21033422276378","47.21033422276378","47.21033422276378"
"12","49.93470624741167","49.93470624741167","49.93470624741167","49.884856306016445","49.884856306016445","49.884856306016445","46.4841917459853","46.4841917459853","46.4841917459853","48.46272402117029","48.46272402117029","48.46272402117029","48.08107398287393","48.08107398287393","48.08107398287393"
"13","44.49643500056118","44.49643500056118","44.49643500056118","52.62985803140327","52.62985803140327","52.62985803140327","47.3017332481686","47.3017332481686","47.3017332481686","48.459905507043004","48.459905507043004","48.459905507043004","49.47739733243361","49.47739733243361","49.47739733243361"
"14","50.121833828277886","50.121833828277886","50.121833828277886","44.49443355249241","44.49443355249241","44.49443355249241","49.779765516286716","49.779765516286716","49.779765516286716","48.059337937738746","48.059337937738746","48.059337937738746","47.032963239820674","47.032963239820674","47.032963239820674"
"15","47.73671139171347","47.73671139171347","47.73671139171347","46.36888151243329","46.36888151243329","46.36888151243329","48.77411559410393","48.77411559410393","48.77411559410393","49.141766181681305","49.141766181681305","49.141766181681305","49.09955328819342","49.09955328819342","49.09955328819342"
"16","51.27767094690353","51.27767094690353","51.27767094690353","47.321789290057495","47.321789290057495","47.321789290057495","46.911531552206725","46.911531552206725","46.911531552206725","49.3995442786254","49.3995442786254","49.3995442786254","48.461670072283596","48.461670072283596","48.461670072283596"
"17","45.62858368223533","45.62858368223533","45.62858368223533","45.610774878878146","45.610774878878146","45.610774878878146","48.91608107415959","48.91608107415959","48.91608107415959","48.34951913775876","48.34951913775876","48.34951913775876","48.41502185410354","48.41502185410354","48.41502185410354"
"18","47.10577939241193","47.10577939241193","47.10577939241193","50.65898583456874","50.65898583456874","50.65898583456874","46.511878662742674","46.511878662742674","46.511878662742674","47.60889177280478","47.60889177280478","47.60889177280478","46.1047335419571","46.1047335419571","46.1047335419571"
"19","48.64165877038613","48.64165877038613","48.64165877038613","48.47977113025263","48.47977113025263","48.47977113025263","46.960640635108575","46.960640635108575","46.960640635108575","46.62464311509393","46.62464311509393","46.62464311509393","47.71836638159584","47.71836638159584","47.71836638159584"
"20","45.786781892646104","45.786781892646104","45.786781892646104","48.92164443875663","48.92164443875663","48.92164443875663","47.237222033319995","47.237222033319995","47.237222033319995","50.08888817462139","50.08888817462139","50.08888817462139","47.841028902097605","47.841028902097605","47.841028902097605"
"21","46.23978039249778","46.23978039249778","46.23978039249778","48.56370943062939","48.56370943062939","48.56370943062939","48.94900535873603","48.94900535873603","48.94900535873603","49.25136118067894","49.25136118067894","49.25136118067894","48.91830745374318","48.91830745374318","48.91830745374318"
"22","43.11792471236549","43.11792471236549","43.11792471236549","46.30771160824224","46.30771160824224","46.30771160824224","47.342370116268285","47.342370116268285","47.342370116268285","48.75763680913951","48.75763680913951","48.75763680913951","46.60769657092169","46.60769657092169","46.60769657092169"
"23","39.13431800133549","39.13431800133549","39.13431800133549","49.99175783689134","49.99175783689134","49.99175783689134","46.64817059668712","46.64817059668712","46.64817059668712","49.5261031743139","49.5261031743139","49.5261031743139","47.15055755653884","47.15055755653884","47.15055755653884"
"24","45.41894216206856","45.41894216206856","45.41894216206856","48.32341471570544","48.32341471570544","48.32341471570544","46.9740843209438","46.9740843209438","46.9740843209438","45.48973854491487","45.48973854491487","45.48973854491487","49.113589584012516","49.113589584012516","49.113589584012516"
"25","40.17479345598258","40.17479345598258","40.17479345598258","39.45474463398568","39.45474463398568","39.45474463398568","43.51612420217134","43.51612420217134","43.51612420217134","47.610910407151096","47.610910407151096","47.610910407151096","45.96081670722924","45.96081670722924","45.96081670722924"
